T2,0,300,1,300
T4,0,151,1,400
T5,0,599,1,300
T6,0,200,1,300
T7,0,300,1,300
T8,0,500,1,300
T9,0,400,1,300
T11,0,300,1,300
T15,0,500,1,300
T19,0,400,1,300
T22,0,300,1,300
T25,0,400,1,300
T30,0,500,1,300
T32,0,300,1,300
T34,0,400,1,300
T35,0,300,1,300
T36,0,400,1,300
T37,0,500,1,300
T38,0,400,1,300
T39,0,500,1,300
T40,0,500,1,300
T41,0,500,1,300
T44,0,500,1,300
D,0,500,1,300
E,0,500,1,300
F,0,500,1,300
G,0,500,1,300
H,0,500,1,300
I,0,500,1,300
K,0,500,1,300
M,0,500,1,300
N,0,500,1,300
P,0,500,1,300
Q,0,500,1,300
R,0,500,1,300
S,0,500,1,300
T,0,500,1,300
Y,0,500,1,300
