M, 800, 500
T15, 800, 500
T11, 800, 500
T38, 800, 500
T39, 800, 500
T36, 800, 500
T37, 800, 500
T34, 800, 500
T35, 800, 500
T32, 800, 500
T19, 800, 500
T30, 800, 500
G, 800, 500
F, 800, 500
I, 800, 500
H, 800, 500
K, 800, 500
Kyle2
, 400, 500
E, 800, 500
D, 800, 500
T8, 800, 500
T9, 800, 500
T6, 800, 500
T7, 800, 500
T4, 800, 500
T5, 800, 500
T2, 500, 500
N, 800, 500
Q, 800, 500
P, 800, 500
S, 800, 500
R, 800, 500
T, 800, 500
Y, 800, 500
T22, 800, 500
T25, 800, 500
T41, 800, 500
T40, 800, 500
T44, 800, 500
Kyle1
, 100, 600
